record_id,timestamp,hour,day_of_week,service_name,pod_id,num_pods,request_rate_rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,cpu_utilization,memory_utilization,error_rate,timeout_rate,active_connections,queue_depth,health_status,lb_algorithm,cache_hit_rate,network_throughput_mbps,retry_count,circuit_breaker_state,scaling_event,dependency_latency_ms,cascading_failure_risk,target_request_rate_5min,target_request_rate_10min,target_p99_latency_5min,target_cpu_util_5min,will_overload_5min,will_fail_5min,optimal_num_pods,best_lb_algorithm
cbf8bf40,2025-11-25 00:00:00,0,1,api-gateway,api-gateway-3,3,216,50,90,150,5,43.52,0.001,0.0006,31,2,healthy,random,0.83,3.44,0,closed,cooldown,60,0,369,218,405,5,1,0,4,ml-predictive
5affcbc5,2025-11-25 00:00:35,0,1,cart-service,cart-service-1,3,46,54,97,162,5,31.0,0.001,0.0006,6,8,healthy,ml-predictive,0.83,0.68,0,closed,cooldown,32,0,43,44,279,5,0,0,2,ml-predictive
d84404e2,2025-11-25 00:01:35,0,1,order-service,order-service-4,5,27,35,63,105,5,20.02,0.001,0.0006,2,1,healthy,random,0.67,0.4,0,closed,cooldown,31,0,32,25,156,5,0,0,2,ml-predictive
59077c39,2025-11-25 00:02:30,0,1,api-gateway,api-gateway-1,3,183,70,126,210,5,32.59,0.001,0.0006,17,0,healthy,round-robin,0.87,2.81,0,closed,cooldown,84,0,202,217,455,5,1,0,3,ml-predictive
9c054d66,2025-11-25 00:03:01,0,1,search-service,search-service-2,3,52,79,142,237,5,38.63,0.001,0.0006,7,7,healthy,round-robin,0.82,0.95,0,closed,cooldown,0,0,78,66,282,5,0,0,2,ml-predictive
e6debaae,2025-11-25 00:03:37,0,1,logging-service,logging-service-2,5,136,194,349,582,5,24.46,0.001,0.0006,13,13,healthy,round-robin,0.64,2.43,0,closed,cooldown,0,0,148,174,690,5,0,0,2,weighted-response-time
85b0c2b8,2025-11-25 00:04:20,0,1,product-catalog,product-catalog-3,3,90,84,151,252,5.47,29.99,0.001,0.0006,12,10,healthy,least-connections,0.84,1.56,0,closed,cooldown,75,0,93,79,210,10.85,0,0,2,ml-predictive
97c2680e,2025-11-25 00:05:05,0,1,user-service,user-service-3,4,39,97,174,291,5,21.79,0.001,0.0006,4,0,healthy,random,0.92,0.34,0,closed,scale-down,58,0,34,35,267,5,0,0,2,weighted-response-time
e5abb278,2025-11-25 00:05:46,0,1,product-catalog,product-catalog-2,3,88,99,178,297,5,35.86,0.001,0.0006,10,3,healthy,random,0.91,0.97,0,closed,scale-down,89,0,75,84,195,5,0,0,2,ml-predictive
c6282df0,2025-11-25 00:06:29,0,1,logging-service,logging-service-2,5,154,296,532,888,5,16.27,0.001,0.0006,21,6,healthy,round-robin,0.88,3.0,0,closed,scale-down,0,0,598,184,1880,5,1,0,6,weighted-response-time
b459326e,2025-11-25 00:07:11,0,1,logging-service,logging-service-2,4,177,285,513,855,5,22.29,0.001,0.0006,21,4,healthy,ip-hash,0.9,1.33,0,closed,cooldown,0,0,174,169,783,5,0,0,2,weighted-response-time
6f45cc57,2025-11-25 00:08:02,0,1,api-gateway,api-gateway-2,3,173,60,108,180,5,43.44,0.001,0.0006,20,4,healthy,round-robin,0.7,1.67,0,closed,stable,72,0,200,184,189,5,0,0,2,ml-predictive
38dfc722,2025-11-25 00:08:56,0,1,api-gateway,api-gateway-1,3,211,60,108,180,5,44.26,0.001,0.0006,21,1,healthy,ip-hash,0.68,4.22,0,closed,stable,72,0,205,220,174,5.99,0,0,3,ml-predictive
6a09af18,2025-11-25 00:09:48,0,1,cart-service,cart-service-3,3,42,77,138,231,5,39.31,0.001,0.0006,4,1,healthy,least-connections,0.84,0.43,0,closed,scale-down,46,0,39,46,240,5,0,0,2,ml-predictive
c517ed6a,2025-11-25 00:10:48,0,1,api-gateway,api-gateway-3,3,150,66,118,198,5,45.25,0.001,0.0006,12,6,healthy,round-robin,0.86,1.52,0,closed,stable,79,0,229,192,222,5,0,0,3,ml-predictive
59f468bc,2025-11-25 00:11:27,0,1,search-service,search-service-1,3,71,97,174,291,5,32.91,0.001,0.0006,9,0,healthy,round-robin,0.68,0.99,0,closed,scale-down,0,0,71,68,213,5,0,0,2,ml-predictive
0f914cfb,2025-11-25 00:12:16,0,1,api-gateway,api-gateway-1,3,157,64,115,192,5,30.84,0.001,0.0006,22,1,healthy,round-robin,0.85,1.16,0,closed,scale-down,76,0,173,187,159,5,0,0,2,ml-predictive
2cdb6303,2025-11-25 00:12:58,0,1,image-service,image-service-5,8,249,78,140,234,5,10,0.001,0.0006,36,0,healthy,ml-predictive,0.83,4.66,0,closed,scale-down,0,0,85,108,315,5,0,0,2,ml-predictive
34987ada,2025-11-25 00:13:51,0,1,user-service,user-service-1,3,40,56,100,168,5,35.23,0.001,0.0006,5,10,healthy,round-robin,0.62,0.25,0,closed,stable,33,0,33,170,270,5.54,0,0,2,weighted-response-time
f32943e3,2025-11-25 00:14:42,0,1,order-service,order-service-5,5,24,58,104,174,5,13.81,0.001,0.0006,2,4,healthy,random,0.72,0.44,0,closed,scale-down,52,0,30,34,159,5,0,0,2,ml-predictive
757af436,2025-11-25 00:15:22,0,1,image-service,image-service-5,7,116,93,167,279,5,25.2,0.001,0.0006,13,0,healthy,ml-predictive,0.9,2.19,0,closed,cooldown,0,0,96,109,339,5.71,0,0,2,ml-predictive
14a9ed3b,2025-11-25 00:16:04,0,1,logging-service,logging-service-1,4,149,215,387,645,6.03,23.42,0.001,0.0006,12,0,healthy,ml-predictive,0.85,1.5,0,closed,scale-down,0,0,163,155,783,6.39,0,0,2,weighted-response-time
9ccfc98a,2025-11-25 00:16:43,0,1,api-gateway,api-gateway-2,2,369,81,202,405,5,61.29,0.081,0.0486,51,3,degraded,weighted-response-time,0.62,4.69,0,closed,cooldown,97,8,218,132,207,7.17,0,0,3,weighted-response-time
42ed1e43,2025-11-25 00:17:32,0,1,logging-service,logging-service-2,3,159,277,498,831,5,26.91,0.001,0.0006,18,12,healthy,round-robin,0.65,1.49,0,closed,cooldown,0,0,139,148,768,5,0,0,2,weighted-response-time
2731026b,2025-11-25 00:18:15,0,1,search-service,search-service-1,2,66,94,169,282,5,40.82,0.001,0.0006,5,17,healthy,round-robin,0.6,1.04,0,closed,stable,0,0,65,69,231,5,0,0,2,ml-predictive
6abbda6c,2025-11-25 00:18:48,0,1,notification-service,notification-service-1,4,70,119,214,357,5,27.06,0.001,0.0006,6,0,healthy,ip-hash,0.75,0.82,0,closed,scale-down,0,0,69,54,468,5.03,0,0,2,weighted-response-time
