record_id,timestamp,hour,day_of_week,service_name,pod_id,num_pods,request_rate_rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,cpu_utilization,memory_utilization,error_rate,timeout_rate,active_connections,queue_depth,health_status,lb_algorithm,cache_hit_rate,network_throughput_mbps,retry_count,circuit_breaker_state,scaling_event,dependency_latency_ms,cascading_failure_risk,target_request_rate_5min,target_request_rate_10min,target_p99_latency_5min,target_cpu_util_5min,will_overload_5min,will_fail_5min,optimal_num_pods,best_lb_algorithm
9f9a1195,2025-11-25 00:00:00,0,1,recommendation-engine,recommendation-engine-4,4,50,104,187,312,6.04,10.33,0.001,0.0006,4,0,healthy,ml-predictive,0.7,0.53,0,closed,cooldown,62,0,53,38,327,5,0,0,2,ml-predictive
b6e73baa,2025-11-25 00:00:46,0,1,product-catalog,product-catalog-1,4,84,78,140,234,5,17.91,0.001,0.0006,9,0,healthy,ml-predictive,0.61,0.66,0,closed,cooldown,70,0,68,69,153,5,0,0,2,ml-predictive
c3778c1c,2025-11-25 00:01:26,0,1,logging-service,logging-service-3,3,152,188,338,564,5,32.25,0.001,0.0006,21,0,healthy,least-connections,0.61,1.29,0,closed,cooldown,0,0,160,169,594,5,0,0,2,ml-predictive
b003695a,2025-11-25 00:02:10,0,1,logging-service,logging-service-3,3,136,163,293,489,5,33.25,0.001,0.0006,11,10,healthy,ml-predictive,0.65,2.34,0,closed,cooldown,0,0,161,161,534,5,0,0,2,ml-predictive
02b4869d,2025-11-25 00:03:00,0,1,logging-service,logging-service-3,3,179,162,291,486,7.64,33.77,0.001,0.0006,22,3,healthy,ml-predictive,0.7,3.57,0,closed,cooldown,0,0,165,131,609,10.04,0,0,2,ml-predictive
ebc848e0,2025-11-25 00:03:31,0,1,order-service,order-service-1,5,25,30,54,90,5,17.76,0.001,0.0006,2,2,healthy,round-robin,0.84,0.45,0,closed,cooldown,27,0,30,28,177,5,0,0,2,ml-predictive
6a981d92,2025-11-25 00:04:06,0,1,image-service,image-service-1,3,107,102,183,306,5,37.34,0.001,0.0006,12,4,healthy,ml-predictive,0.86,0.91,0,closed,cooldown,0,0,99,110,384,5.15,0,0,2,ml-predictive
2326f6cb,2025-11-25 00:04:44,0,1,api-gateway,api-gateway-2,7,224,51,91,153,9.29,15.72,0.001,0.0006,20,4,healthy,round-robin,0.77,1.46,0,closed,cooldown,61,0,214,166,186,5,0,0,3,ml-predictive
985b8128,2025-11-25 00:05:21,0,1,inventory-service,inventory-service-2,5,35,82,147,246,5,32.15,0.001,0.0006,4,1,healthy,random,0.93,0.57,0,closed,scale-down,0,0,33,37,231,12.67,0,0,2,ml-predictive
6a12228a,2025-11-25 00:06:09,0,1,api-gateway,api-gateway-6,7,238,70,126,210,5,15.38,0.001,0.0006,31,0,healthy,random,0.65,3.94,0,closed,scale-down,84,0,194,203,228,5,0,0,2,ml-predictive
2f7b0f24,2025-11-25 00:06:54,0,1,product-catalog,product-catalog-4,4,83,73,131,219,5,21.48,0.001,0.0006,10,3,healthy,round-robin,0.6,0.73,0,closed,scale-down,65,0,87,80,285,7.47,0,0,2,ml-predictive
586062a7,2025-11-25 00:07:54,0,1,shipping-service,shipping-service-5,5,18,98,176,294,5,23.48,0.001,0.0006,2,1,healthy,ml-predictive,0.73,0.13,0,closed,scale-down,0,0,18,47,381,5,0,0,2,ml-predictive
1242508c,2025-11-25 00:08:54,0,1,api-gateway,api-gateway-4,6,176,72,129,216,5,16.19,0.001,0.0006,19,13,healthy,random,0.63,1.39,0,closed,cooldown,86,0,187,201,153,5,0,0,2,ml-predictive
25faad5c,2025-11-25 00:09:37,0,1,api-gateway,api-gateway-6,6,200,43,77,129,5,19.76,0.001,0.0006,25,2,healthy,round-robin,0.83,1.62,0,closed,cooldown,51,0,233,208,177,5,0,0,3,ml-predictive
53069812,2025-11-25 00:10:30,0,1,logging-service,logging-service-2,3,152,154,277,462,5,28.53,0.001,0.0006,12,5,healthy,least-connections,0.89,0.96,0,closed,scale-down,0,0,163,132,606,5,0,0,2,ml-predictive
39ce0bc0,2025-11-25 00:11:01,0,1,logging-service,logging-service-1,2,164,288,518,864,5,53.79,0.001,0.0006,16,1,healthy,round-robin,0.95,2.73,0,closed,cooldown,0,0,160,163,813,5,0,0,2,ml-predictive
596b6dd5,2025-11-25 00:11:59,0,1,api-gateway,api-gateway-5,6,182,44,79,132,5,20.22,0.001,0.0006,20,0,healthy,least-connections,0.63,3.57,0,closed,scale-down,52,0,221,228,171,5,0,0,3,ml-predictive
895bd741,2025-11-25 00:12:32,0,1,api-gateway,api-gateway-5,5,223,54,97,162,5,18.8,0.001,0.0006,27,0,healthy,least-connections,0.95,4.04,0,closed,cooldown,64,0,222,210,111,5,0,0,3,ml-predictive
